img_no,x,y,z,img_x,img_y,l2_dlt,l2_opencv
0,2.7143893241882324,1.6456797122955322,0.4578791558742523,18.0,27.0,5.0990195135927845,3.0
1,2.7420077323913574,1.6682608127593994,0.4455974400043487,18.0,27.0,2.23606797749979,2.23606797749979
2,2.776981830596924,1.6621458530426023,0.4521560072898865,18.0,27.0,3.1622776601683795,3.1622776601683795
3,2.891168594360352,1.6975373029708862,0.4632141590118408,19.0,27.0,5.0990195135927845,3.1622776601683795
4,2.884826183319092,1.7131162881851196,0.4391675889492035,20.0,26.0,1.4142135623730951,2.23606797749979
5,2.9434263706207275,1.7387337684631348,0.459648996591568,20.0,26.0,4.123105625617661,2.8284271247461903
6,2.983652114868164,1.7296634912490845,0.4674969017505646,21.0,27.0,5.0990195135927845,2.23606797749979
7,3.041327953338623,1.7688459157943726,0.469870924949646,21.0,27.0,5.0,1.4142135623730951
8,3.08313536643982,1.779439926147461,0.4736262261867523,21.0,27.0,6.324555320336759,2.23606797749979
9,3.141108989715576,1.8027256727218628,0.4788719117641449,21.0,27.0,7.280109889280518,2.23606797749979
10,3.2009048461914062,1.85289204120636,0.4839158952236175,21.0,28.0,7.0,1.4142135623730951
11,3.2009048461914062,1.85289204120636,0.4839158952236175,21.0,29.0,7.071067811865476,1.0
12,3.256223678588867,1.9214544296264648,0.4718472361564636,21.0,29.0,5.0990195135927845,0.0
13,3.284855604171753,1.9195587635040283,0.4892320334911346,21.0,29.0,7.071067811865476,1.0
14,3.398857355117798,1.968632936477661,0.4654154181480407,21.0,29.0,4.242640687119285,1.4142135623730951
15,3.3747053146362305,1.979807615280152,0.4804064631462097,21.0,29.0,5.0990195135927845,1.0
16,3.4592299461364746,1.998179316520691,0.4838443696498871,21.0,30.0,5.385164807134504,1.4142135623730951
17,2.08266830444336,1.6394153833389282,0.4333130121231079,5.0,22.0,9.055385138137416,2.0
18,2.07185959815979,1.621445894241333,0.4297509789466858,4.0,22.0,7.0,1.4142135623730951
19,2.025719404220581,1.5733251571655271,0.3909701406955719,5.0,21.0,7.071067811865476,2.8284271247461903
20,2.0300254821777344,1.5333901643753052,0.4071110188961029,4.0,23.0,4.0,4.123105625617661
21,2.0103759765625,1.517484426498413,0.388037770986557,5.0,23.0,7.280109889280518,4.0
22,1.7222968339920044,0.9322027564048768,0.3291690647602081,18.0,20.0,15.811388300841896,9.486832980505138
23,1.7124863862991333,0.8715033531188965,0.3529958426952362,23.0,19.0,11.6619037896906,6.708203932499369
24,1.6871589422225952,0.798633337020874,0.3637167513370514,27.0,19.0,9.848857801796104,5.385164807134504
25,1.6563408374786377,0.7014886736869812,0.3735871016979217,30.0,19.0,7.810249675906654,6.0
26,1.6121749877929688,0.6041138768196106,0.3768259882926941,33.0,17.0,8.48528137423857,7.280109889280518
27,1.6121749877929688,0.6041138768196106,0.3768259882926941,36.0,17.0,6.708203932499369,4.47213595499958
28,1.5443718433380127,0.4662153422832489,0.3540502488613128,39.0,17.0,10.295630140987,7.280109889280518
29,1.5172418355941772,0.4220703244209289,0.3541289567947387,43.0,17.0,9.486832980505138,5.0990195135927845
30,1.49369478225708,0.3856189548969269,0.3467074036598205,46.0,17.0,10.04987562112089,3.1622776601683795
31,1.4410052299499512,0.2914314270019531,0.3720775246620178,49.0,15.0,7.071067811865476,5.0
32,1.4260990619659424,0.2563575804233551,0.3700994849205017,53.0,15.0,5.385164807134504,2.0
33,1.3930498361587524,0.1624299734830856,0.3888686597347259,57.0,14.0,8.246211251235321,4.47213595499958
34,1.3803077936172483,0.1267789304256439,0.3919576108455658,60.0,13.0,8.54400374531753,3.605551275463989
35,1.3735753297805786,0.0749523118138313,0.3716476857662201,63.0,12.0,6.4031242374328485,3.605551275463989
36,1.3784140348434448,0.0573358125984668,0.3717324435710907,66.0,12.0,5.385164807134504,2.23606797749979
37,1.382793426513672,0.045942660421133,0.3754846155643463,66.0,14.0,3.605551275463989,2.0
38,1.381760835647583,0.0373190529644489,0.3721208870410919,67.0,14.0,3.605551275463989,1.0
39,1.4057725667953491,0.0475900135934352,0.3765022158622741,68.0,14.0,2.8284271247461903,1.0
40,2.727008104324341,1.2757753133773804,0.2875564992427826,32.0,29.0,8.54400374531753,0.0
41,2.7876877784729004,1.2353729009628296,0.1833459287881851,32.0,30.0,12.083045973594572,2.8284271247461903
42,2.7434043884277344,1.2998930215835571,0.1098654940724372,32.0,33.0,11.40175425099138,1.4142135623730951
43,2.7434043884277344,1.2998930215835571,0.1098654940724372,32.0,36.0,8.54400374531753,2.23606797749979
44,2.7914576530456543,1.2701165676116943,-0.0702823549509048,33.0,39.0,9.486832980505138,0.0
45,2.7914576530456543,1.2701165676116943,-0.0702823549509048,34.0,42.0,6.324555320336759,3.1622776601683795
46,2.854498147964477,1.2164537906646729,-0.2267476916313171,35.0,45.0,4.47213595499958,1.0
47,2.879823446273804,1.1952260732650757,-0.2661447823047638,36.0,47.0,3.605551275463989,1.4142135623730951
48,2.9541914463043213,1.1209478378295898,-0.3464882373809814,37.0,49.0,2.23606797749979,3.1622776601683795
49,2.928058624267578,1.164327621459961,-0.3770700693130493,38.0,50.0,0.0,1.4142135623730951
50,2.946774244308472,1.1440610885620115,-0.3917433619499206,39.0,52.0,1.4142135623730951,1.0
51,2.95529842376709,1.1406621932983398,-0.4190705120563507,40.0,53.0,2.8284271247461903,1.0
52,2.9762892723083496,1.13234543800354,-0.4244886636734009,39.0,53.0,2.23606797749979,1.4142135623730951
53,2.9762892723083496,1.13234543800354,-0.4244886636734009,39.0,53.0,2.23606797749979,1.4142135623730951
54,2.983829975128174,1.1400750875473022,-0.3554245829582214,40.0,52.0,2.8284271247461903,2.0
55,2.9931859970092773,1.1270307302474976,-0.2982633411884308,40.0,52.0,2.23606797749979,4.0
56,3.0378122329711914,1.05255126953125,-0.1330163925886154,42.0,45.0,2.8284271247461903,2.23606797749979
57,3.0541341304779053,1.0282609462738037,0.0190900471061468,43.0,41.0,4.47213595499958,3.1622776601683795
58,3.0826609134674072,0.9814264178276062,0.0975535660982132,44.0,38.0,5.385164807134504,2.23606797749979
59,3.103337287902832,0.9472759962081908,0.1764509081840515,45.0,35.0,5.385164807134504,2.23606797749979
60,3.1805226802825928,0.8287820816040039,0.2976018786430359,47.0,32.0,2.23606797749979,4.123105625617661
61,3.165680170059204,0.873068630695343,0.3753901422023773,47.0,30.0,2.23606797749979,3.1622776601683795
62,3.1791412830352783,0.859239935874939,0.4073283970355987,48.0,28.0,3.605551275463989,3.0
63,3.1791412830352783,0.859239935874939,0.4073283970355987,49.0,27.0,2.23606797749979,2.23606797749979
64,3.210637092590332,0.8506559729576111,0.4289366900920868,48.0,28.0,6.4031242374328485,3.0
65,3.1698555946350098,0.90414297580719,0.4163398742675781,47.0,27.0,3.605551275463989,2.23606797749979
66,3.1463005542755127,0.9155369400978088,0.4331112504005432,48.0,27.0,4.47213595499958,1.0
67,3.140624761581421,0.8822339773178101,0.4283126294612884,47.0,27.0,5.656854249492381,3.0
68,3.1433627605438232,0.8116953372955322,0.4421815872192383,47.0,27.0,9.219544457292889,5.0
69,3.12850284576416,0.7932153940200806,0.4314507246017456,48.0,27.0,7.211102550927978,4.0
70,3.1168549060821533,0.7157021760940552,0.431057870388031,49.0,27.0,8.602325267042627,6.0
71,3.1168549060821533,0.7157021760940552,0.431057870388031,50.0,27.0,7.810249675906654,5.0
72,3.072816133499145,0.689502477645874,0.4182275533676147,51.0,27.0,5.830951894845301,4.0
73,3.0688061714172363,0.7074201703071594,0.4223864674568176,50.0,27.0,6.4031242374328485,5.0
74,3.005918502807617,0.7445242404937744,0.4140841960906982,50.0,27.0,4.242640687119285,3.0
75,2.991269826889038,0.7534856796264648,0.406396746635437,49.0,26.0,4.123105625617661,3.1622776601683795
76,2.975871562957764,0.7403267621994019,0.3974857032299042,48.0,27.0,4.123105625617661,5.0
77,2.9408204555511475,0.8064568638801575,0.3946036100387573,47.0,27.0,3.1622776601683795,3.0
78,2.919130563735962,0.8109278082847595,0.3825955390930176,46.0,27.0,3.1622776601683795,4.0
79,1.9829005002975464,1.5177139043807983,0.4167656004428863,8.0,23.0,8.06225774829855,3.1622776601683795
80,2.022571563720703,1.3718007802963257,0.4343583285808563,12.0,23.0,6.4031242374328485,2.8284271247461903
81,2.022571563720703,1.3718007802963257,0.4343583285808563,16.0,22.0,9.486832980505138,2.23606797749979
82,1.9986512660980225,1.234153389930725,0.4255374670028686,19.0,22.0,4.47213595499958,1.0
83,1.9986512660980225,1.234153389930725,0.4255374670028686,23.0,21.0,8.06225774829855,3.1622776601683795
84,2.0384631156921387,1.0611993074417114,0.4246678650379181,26.0,21.0,2.0,2.8284271247461903
