Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.79945,0,0,0,0,-0.821252,0.962379,-0.402527,0.0592449,0,0,0,0,-0.202625,0.201777,-0.075216,0.0101678,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.77248,-0.5,-0.175843,0.286157,0.0840824,-0.0690207,-0.0103341,0.0149819,-0.00287634,-0.25,-0.242723,0.0194087,0.0412302,-0.183828,0.261332,-0.132444,0.022544,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.59849,0,0.531952,0.0181366,-0.0550211,0.107303,-0.301931,0.202963,-0.0415257,-0.5,0.00812482,-0.000288432,-0.0143403,-0.610537,0.847784,-0.419098,0.0722339,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.6277,0.5,-0.0752052,-0.156858,0.00680378,0.0857183,-0.15455,0.0921361,-0.0178626,-0.75,-0.209924,-0.0148551,0.0150933,-0.0961157,0.1816,-0.10246,0.0188715,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.64231,0,-0.486531,-0.0106663,0.0284356,0.0572965,0.0109248,-0.030596,0.00790824,-1,0.0100595,0.102147,-0.000154674,0.00736617,-0.0117211,0.0014775,0.000500037,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.65462,-0.5,0.0140336,0.186049,0.00250221,-0.0739497,0.129857,-0.0794097,0.0155923,-0.75,0.223092,-0.0119206,-0.00968958,-0.245086,0.347872,-0.170389,0.0287619,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.62043,0,0.507649,-0.000984907,-0.0357588,-0.0958046,0.0554471,-0.00382671,-0.00196082,-0.5,0.152815,0.00644039,0.000378336,-0.080402,0.119753,-0.0619268,0.0109556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.69213,0.5,-0.00133118,-0.180792,0.000359687,0.00698726,-0.0337834,0.0295731,-0.00666276,-0.25,0.173757,0.00282225,-0.00236811,-0.138835,0.191258,-0.0922435,0.0153489,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.69213,0,-0.492793,-4.35407e-15,0.0341524,0.124805,-0.113016,0.0384347,-0.00476289,0,0.156523,-8.12144e-16,1.61414e-05,-0.132696,0.195834,-0.0985785,0.0168746,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.62043,-0.5,0.00306459,0.180792,0.000583687,0.0143537,0.0255411,-0.0347002,0.00892141,0.25,0.180134,0.00183446,-0.00112485,0.117993,-0.214986,0.122793,-0.0230639,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.65462,0,0.522858,0.000925215,-0.0357588,-0.211213,0.223364,-0.0894894,0.0130665,0.5,0.0826027,-0.00393306,0.00237679,0.420223,-0.598003,0.298134,-0.0511831,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.64231,0.5,-0.00609583,-0.186049,0.0016894,-0.0614304,0.066047,-0.0198433,0.00159788,0.75,0.124806,0.0105375,-0.00484479,0.500867,-0.761538,0.39352,-0.0691592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.6277,0,-0.492578,-0.0106663,0.0284356,-0.182237,0.407942,-0.249166,0.048214,1,0.00502973,-0.0510736,-0.000951842,-0.58311,0.845302,-0.425717,0.0737839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.59849,-0.5,0.0681547,0.156858,0.00477448,-0.0513432,0.0873884,-0.0525434,0.0101439,0.75,-0.13865,0.00742754,0.00754664,-0.494741,0.75949,-0.402421,0.0727118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.77248,0,0.51455,0.0393439,-0.064766,0.0907579,-0.183067,0.0970618,-0.0159721,0.5,-0.0546429,0.00476802,-0.00717015,-0.28606,0.368447,-0.168254,0.0266871,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.79945,0.5,-0.24789,-0.286157,0.119569,-0.20025,0.401521,-0.230621,0.0414081,0.25,-0.162492,-0.0143768,0.0206151,-0.278212,0.404506,-0.198995,0.0329004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
